Title,Description,Creator,Source,Publisher,Date,Contributor,Rights,Relation,Identifier,XML,Image 1,Image 2,Image 3,Image 4,Image 5
1057: Elias Lönnrot > Sven Gabriel Elmgren,Kirjoituspaikka: Sammatti,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,6.6.1865,SKS,SKS,19:212,1057,http://localhost/uploads/1057_S._G._Elmgren.xml,http://localhost/uploads/lnak019_212a_f.jpg,http://localhost/uploads/lnak019_212b_f.jpg,,,
1574: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Laucko,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,15.7.1841,SKS,SKS,657:64:1,1574,http://localhost/uploads/1574_M._A._Castren.xml,http://localhost/uploads/lnak657_064_001a_f.jpg,http://localhost/uploads/lnak657_064_001b_f.jpg,http://localhost/uploads/lnak657_064_001c_f.jpg,,
1575: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Vyjtegra,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,6.8.1842,SKS,SKS,657:64:2,1575,http://localhost/uploads/1575_M._A._Castren.xml,http://localhost/uploads/lnak657_064_002a_f.jpg,http://localhost/uploads/lnak657_064_002b_f.jpg,http://localhost/uploads/lnak657_064_002c_f.jpg,,
1576: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,11.8.1843,SKS,SKS,657:64:4,1576,http://localhost/uploads/1576_M._A._Castren.xml,http://localhost/uploads/lnak657_064_004a_f.jpg,http://localhost/uploads/lnak657_064_004b_f.jpg,http://localhost/uploads/lnak657_064_004c_f.jpg,http://localhost/uploads/lnak657_064_004d_f.jpg,
1577: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,20.6.1845,SKS,SKS,657:64:5,1577,http://localhost/uploads/1577_M._A._Castren.xml,http://localhost/uploads/lnak657_064_005a_f.jpg,http://localhost/uploads/lnak657_064_005b_f.jpg,http://localhost/uploads/lnak657_064_005c_f.jpg,http://localhost/uploads/lnak657_064_005d_f.jpg,
1578: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,30.10.1845,SKS,SKS,657:64:7,1578,http://localhost/uploads/1578_M._A._Castren.xml,http://localhost/uploads/lnak657_064_007a_f.jpg,http://localhost/uploads/lnak657_064_007b_f.jpg,http://localhost/uploads/lnak657_064_007c_f.jpg,http://localhost/uploads/lnak657_064_007d_f.jpg,
1579: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,22.11.1845,SKS,SKS,657:64:8,1579,http://localhost/uploads/1579_M._A._Castren.xml,http://localhost/uploads/lnak657_064_008a_f.jpg,http://localhost/uploads/lnak657_064_008b_f.jpg,,,
1580: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,12.1.1846,SKS,SKS,657:64:9,1580,http://localhost/uploads/1580_M._A._Castren.xml,http://localhost/uploads/lnak657_064_009a_f.jpg,http://localhost/uploads/lnak657_064_009b_f.jpg,http://localhost/uploads/lnak657_064_009c_f.jpg,http://localhost/uploads/lnak657_064_009d_f.jpg,
1581: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,8.2.1846,SKS,SKS,657:64:10,1581,http://localhost/uploads/1581_M._A._Castren.xml,http://localhost/uploads/lnak657_064_010a_f.jpg,http://localhost/uploads/lnak657_064_010b_f.jpg,http://localhost/uploads/lnak657_064_010c_f.jpg,,
1582: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,14.4.1846,SKS,SKS,657:64:11,1582,http://localhost/uploads/1582_M._A._Castren.xml,http://localhost/uploads/lnak657_064_011a_f.jpg,http://localhost/uploads/lnak657_064_011b_f.jpg,http://localhost/uploads/lnak657_064_011c_f.jpg,,
